date,time,distance,calories,averageWatts,strokesPerMinute,splitTime,maxWatts,maxStrokesPerMinute,maxSplitTime
2025-04-05,00:43:11,10027,504,173,23,02:11,367,49,01:38
2025-04-07,00:25:39,6033,306,176,25,02:08,345,36,01:40
2025-04-08,00:30:39,7206,365,175,25,02:08,424,38,01:33
2025-04-10,00:42:49,10212,529,184,25,02:07,384,40,01:36
2025-04-11,00:19:56,5042,280,212,26,01:59,261,31,01:50
2025-04-13,00:15:04,3683,196,195,25,02:03,395,38,01:36
2025-04-15,00:25:06,6037,313,184,22,02:04,266,30,01:49
2025-04-18,00:26:12,6038,305,175,22,02:14,384,63,01:36
2025-04-21,00:46:13,11003,565,180,22,02:06,420,37,01:34
2025-04-24,00:31:24,7537,391,183,22,02:06,391,36,01:36
2025-04-26,00:21:06,5033,259,180,24,02:06,245,27,01:52
2025-04-28,00:49:21,12035,636,190,23,02:03,336,49,01:41
2025-05-02,01:01:23,15015,795,192,23,02:03,357,34,01:39
2025-05-04,00:07:20,2014,127,276,29,01:48,381,59,01:37
2025-06-09,00:13:23,5678,123,123,23,01:59,400,56,01:38
